,FWHMx_mm,FWHMy_mm,FWHMz_mm,volume_vox
8840,9.09627,9.80956,9.15344,171885
8842,9.72967,10.5335,9.81219,171885
8843,9.61617,9.51891,8.66858,171885
8844,9.84702,10.7973,10.0348,171885
8845,9.55994,9.76807,9.41157,171885
8846,9.71013,9.91995,9.26583,171885
8847,9.12603,9.7077,8.95206,171885
8848,9.83111,10.5474,9.87082,171885
8849,8.04715,8.35408,7.66065,171887
8850,10.8694,11.251,10.808,171885
8851,9.42184,10.0002,8.77686,171885
8852,10.3711,10.6036,9.85103,171887
8853,8.92403,9.19891,8.66837,171885
9570,14.5068,15.3488,13.4649,162109
9571,14.7114,14.516,12.5666,162109
9572,12.3088,12.6271,11.1155,162109
9573,9.77791,10.0326,9.72503,162109
9574,15.7974,18.2016,16.3507,162109
9575,14.1942,14.7079,13.6547,162109
9576,12.5667,13.3109,11.6321,162109
9577,11.4256,12.7047,11.3883,162109
9706,17.6464,18.5425,18.3504,186200
